계정,2024-3Q,2024-2Q,2024-1Q,2023,2023-3Q
반도체 부문,4.64259E+13,2.88529E+13,1.24296E+13,3.27657E+13,2.14602E+13
영업수익,4.64259E+13,2.88529E+13,1.24296E+13,3.27657E+13,2.14602E+13
영업비용,3.10414E+13,2.04983E+13,9.54357E+12,4.0496E+13,2.95366E+13
영업이익,1.53845E+13,8.35457E+12,2.88603E+12,-7.73031E+12,-8.07635E+12
영업이익률,0.331377845,0.289557644,0.232190052,-0.235926854,-0.376340469
순이익,1.17904E+13,6.03704E+12,1.91704E+12,-9.13755E+12,-7.7581E+12
순이익률,0.253961876,0.209235509,0.154231778,-0.278875217,-0.361510701
