계정,2024-3Q,2024-2Q,2024-1Q,2023,2023-3Q
에너지솔루션,1.91684E+13,1.22906E+13,6.12871E+12,3.37455E+13,2.57441E+13
영업수익,1.91684E+13,1.22906E+13,6.12871E+12,3.37455E+13,2.57441E+13
영업비용,1.83675E+13,1.19379E+13,5.97138E+12,3.15822E+13,2.39191E+13
영업이익,8.00915E+11,3.52656E+11,1.57337E+11,2.16323E+12,1.82501E+12
영업이익률,0.041783041,0.028693194,0.025672107,0.064104426,0.070890446
순이익,7.49619E+11,1.88312E+11,2.12052E+11,1.63799E+12,1.44766E+12
순이익률,0.039106973,0.015321653,0.034599755,0.048539404,0.056232512
